Workshop #,Series,Skill,Goal,Instances,Registered,Participated
1,Explorer,Prompting,Improve prompts with PICO,,,
2,Explorer,Prompting,Craft a complex prompt,,,
3,Explorer,Collaborating with GenAI,Make a decision,,,
4,Explorer,Collaborating with GenAI,Improve your performance,,,
5,Practitioner,Coding with GenAI,Write and run code,,,
6,Practitioner,Coding with GenAI,Maintain a project,,,
7,Practitioner,Crafting Utilities,Prototype a utility,,,
8,Practitioner,Crafting Utilities,Team up to make an impact,,,
